London, England  to Asia
Elev      80m    40m    30m    20m    17m    15m    12m    10m
 1        1.7    3.5    4.4    5.3    8.9    8.9    6.6    3.6
 2        2.9    4.9    6.7    9.8   11.1   11.9   11.5   10.6
 3        5.4    8.7    6.7    9.4   10.0   12.2   15.3   13.9
 4        7.0    7.3    7.2    5.7    6.4    6.6    9.4   14.8
 5        7.8    4.5    7.6    7.1    7.8    7.2    5.8    8.8
 6        3.4    7.6    5.1    6.9    9.0   10.3    8.0    6.4
 7        5.9    5.8    4.8    4.8    5.3    7.8   11.2    9.3
 8        4.5    4.9    5.2    5.3    4.0    4.2    6.7   10.8
 9        1.9    5.1   10.1    9.5    9.1    4.4    6.7    7.2
10        3.6    6.3    8.7    8.9    7.8    7.9    4.0    4.4
11        5.9    6.6    6.3    5.4    3.7    4.7    3.4    2.3
12        6.7    4.9    4.0    3.5    4.1    2.5    3.7    1.8
13        6.4    3.3    3.9    3.0    2.4    2.8    1.5    1.0
14        4.2    4.0    4.6    3.0    1.9    1.8    0.7    0.7
15        2.9    6.6    4.2    3.2    2.1    1.6    0.8    1.1
16        2.5    3.6    2.4    2.8    1.9    1.4    1.5    0.8
17        3.0    1.9    1.8    2.3    1.4    1.0    1.0    0.8
18        3.2    1.8    1.3    1.0    0.9    1.2    0.9    1.5
19        4.1    1.8    1.7    0.6    0.5    0.5    0.3    0.2
20        2.7    1.8    1.1    0.8    0.4    0.3    0.5    0.2
21        1.8    1.0    0.8    0.7    0.4    0.1    0.3    0.0
22        1.7    0.9    0.4    0.5    0.4    0.1    0.0    0.0
23        1.8    0.9    0.5    0.3    0.3    0.2    0.0    0.0
24        2.4    0.7    0.2    0.2    0.2    0.2    0.2    0.0
25        3.7    0.5    0.3    0.1    0.1    0.1    0.0    0.0
26        1.9    0.4    0.1    0.0    0.0    0.0    0.0    0.0
27        0.9    0.3    0.0    0.0    0.0    0.1    0.0    0.0
28        0.3    0.2    0.0    0.0    0.0    0.1    0.0    0.0
29        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
30        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
31        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
32        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
33        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
34        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
35        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
36        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
37        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
38        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
39        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
40        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
41        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
42        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
43        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
44        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
45        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
46        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
47        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
48        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
49        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
50        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
51        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
52        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
53        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
54        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
55        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
56        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
57        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
58        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
59        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
60        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
61        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
62        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
63        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
64        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
65        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
66        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
67        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
68        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
69        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
70        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0

