London, England  to Europe
Elev      80m    40m    30m    20m    17m    15m    12m    10m
 1        0.6    0.5    0.8    2.4    2.4    0.4    0.0    0.0
 2        2.9    2.1    0.2    0.4    0.5    0.1    0.0    0.0
 3        1.2    1.8    3.5    2.2    0.3    0.0    0.0    0.0
 4        0.6    0.5    1.3    4.5    4.5    1.2    0.0    0.0
 5        1.2    1.2    2.3    5.1    7.5    6.7    3.5    0.7
 6        4.5    6.7    5.4    4.9    6.3    6.8    6.6    3.3
 7        5.2    5.2    5.1    6.3    6.9    6.5    6.0    5.6
 8        3.1    5.1    4.7    3.8    4.9    6.1    5.9    3.3
 9        2.7    3.2    4.1    5.1    5.7    7.8   10.8   12.5
10        2.8    2.3    4.1    5.0    4.7    6.1    9.0   11.7
11        4.3    3.8    3.1    4.4    4.8    5.6    7.9   11.0
12        1.7    3.5    4.1    5.5    6.2    6.2    7.7   12.0
13        2.2    1.7    3.4    5.5    4.7    5.6    5.7    6.3
14        1.8    1.9    3.1    4.6    5.3    5.3    6.0    7.5
15        1.4    1.3    2.5    2.5    3.4    4.8    3.5    3.2
16        1.0    1.3    2.3    2.4    3.3    4.5    4.0    2.1
17        1.0    2.2    2.8    2.5    2.2    2.5    2.6    2.3
18        1.5    2.2    3.2    3.0    3.0    2.8    4.3    4.3
19        1.7    2.1    3.0    3.1    1.9    1.8    3.3    3.7
20        1.6    2.4    3.4    2.4    2.3    2.3    2.8    3.3
21        2.3    2.3    2.8    2.3    1.6    1.4    1.4    2.5
22        2.9    2.0    2.4    2.3    2.2    1.2    1.1    1.2
23        2.1    1.7    1.6    2.0    1.7    0.8    0.5    0.8
24        1.7    1.5    1.4    1.7    1.8    1.5    0.9    0.2
25        1.6    1.4    1.3    1.3    1.6    1.7    0.6    0.0
26        1.4    2.0    2.0    1.5    1.7    1.4    0.7    0.0
27        1.2    3.1    2.4    0.7    1.2    1.3    1.2    0.6
28        1.3    3.2    2.8    1.4    1.9    1.6    0.9    0.6
29        1.6    3.1    2.4    1.3    0.8    1.4    0.8    0.2
30        1.9    3.0    2.4    1.8    1.2    1.3    0.9    0.6
31        2.2    2.5    2.1    1.1    0.6    0.9    0.5    0.1
32        2.5    2.2    1.8    1.2    0.9    1.0    0.6    0.2
33        3.2    1.7    0.9    1.1    0.4    0.5    0.1    0.0
34        3.2    1.8    1.2    0.8    0.6    0.7    0.2    0.0
35        2.7    1.9    0.8    0.3    0.1    0.0    0.0    0.0
36        2.2    1.9    1.1    0.4    0.1    0.0    0.0    0.0
37        1.9    2.0    0.9    0.2    0.2    0.0    0.0    0.0
38        2.4    1.9    1.4    0.3    0.2    0.0    0.0    0.0
39        2.2    1.7    0.9    0.2    0.1    0.0    0.0    0.0
40        2.2    1.6    1.1    0.4    0.1    0.0    0.0    0.0
41        1.7    1.3    1.0    0.2    0.0    0.0    0.0    0.0
42        1.9    1.1    0.8    0.3    0.2    0.0    0.0    0.0
43        2.0    0.5    0.6    0.1    0.0    0.0    0.0    0.0
44        1.8    0.5    0.4    0.4    0.1    0.0    0.0    0.0
45        1.9    0.6    0.3    0.2    0.0    0.0    0.0    0.0
46        1.6    0.5    0.3    0.2    0.0    0.0    0.0    0.0
47        1.3    0.5    0.1    0.1    0.0    0.0    0.0    0.0
48        0.9    0.5    0.1    0.1    0.0    0.0    0.0    0.0
49        0.6    0.3    0.0    0.1    0.0    0.0    0.0    0.0
50        0.4    0.3    0.0    0.1    0.0    0.0    0.0    0.0
51        0.2    0.2    0.1    0.0    0.0    0.0    0.0    0.0
52        0.1    0.1    0.1    0.0    0.0    0.0    0.0    0.0
53        0.0    0.1    0.0    0.0    0.0    0.0    0.0    0.0
54        0.0    0.1    0.1    0.1    0.0    0.0    0.0    0.0
55        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
56        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
57        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
58        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
59        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
60        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
61        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
62        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
63        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
64        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
65        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
66        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
67        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
68        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
69        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
70        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0

