London, England  to South America
Elev      80m    40m    30m    20m    17m    15m    12m    10m
 1        4.1    6.1    5.8    6.6    7.2    8.1   11.1   11.9
 2        4.7    5.0    7.7    7.8    7.3    7.1   10.3   11.7
 3        3.7    4.8    7.0    6.8    8.5    8.1    8.4   11.5
 4        4.0    3.6    5.5    7.1    9.4    9.9    8.1    8.2
 5        4.0    6.2    6.1    7.8    8.0    9.3    9.0    8.1
 6        4.8    6.0    6.6    7.6    7.6    7.3    8.8   10.1
 7        4.9    5.0    6.3    7.3    7.6    7.6    8.5    7.6
 8        4.0    5.2    6.7    6.2    7.9    7.0    7.2    6.3
 9        4.8    4.2    8.7    8.7    8.7    9.7    8.0   10.9
10        7.0    6.2    4.6    5.4    5.8    5.9    6.0    2.8
11        5.8    7.0    4.3    5.6    4.1    4.3    3.1    3.1
12        4.9    5.7    4.9    4.0    3.9    4.0    2.8    2.7
13        5.4    4.8    5.9    4.9    4.0    3.0    2.2    1.2
14        6.3    3.8    4.5    2.8    2.5    2.2    1.8    1.3
15        6.0    5.5    3.0    2.8    2.0    1.8    1.4    0.7
16        5.6    5.3    2.5    2.4    1.6    1.5    1.5    1.2
17        5.7    4.6    3.2    2.5    1.2    1.0    0.6    0.1
18        4.5    2.0    1.6    0.6    1.0    0.6    0.4    0.1
19        4.0    2.3    1.7    1.1    0.9    0.4    0.4    0.1
20        2.8    2.2    1.3    1.0    0.3    0.5    0.3    0.1
21        2.1    2.6    0.9    0.4    0.3    0.3    0.1    0.0
22        0.4    1.3    0.4    0.2    0.2    0.2    0.0    0.0
23        0.1    0.4    0.5    0.1    0.1    0.1    0.0    0.0
24        0.1    0.1    0.2    0.1    0.0    0.0    0.0    0.0
25        0.1    0.0    0.1    0.1    0.0    0.0    0.0    0.0
26        0.0    0.0    0.1    0.1    0.0    0.0    0.0    0.0
27        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
28        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
29        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
30        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
31        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
32        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
33        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
34        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
35        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
36        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
37        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
38        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
39        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
40        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
41        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
42        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
43        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
44        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
45        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
46        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
47        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
48        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
49        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
50        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
51        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
52        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
53        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
54        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
55        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
56        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
57        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
58        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
59        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
60        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
61        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
62        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
63        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
64        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
65        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
66        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
67        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
68        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
69        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
70        0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0

